date,value,cash,return
2021-05-21,1850533.4763044668,837134.1308651454,-0.001079270706543789
2021-05-24,1850136.6365097347,837134.1308651454,-0.00021444615826382574
2021-05-25,1851538.5302548353,837134.1308651454,0.000757724439069074
2021-05-26,1850719.2137104054,837134.1308651454,-0.00044250580316962385
2021-05-27,1848002.8745806296,837134.1308651454,-0.0014677208242356299
2021-05-28,1849586.2841485618,837134.1308651454,0.0008568220264761894
2021-06-01,1839309.0427199518,837134.1308651454,-0.005556508240079694
2021-06-02,1836419.5004991284,839806.3318854653,-0.001570993320703984
2021-06-03,1832247.8278561835,839806.3318854653,-0.0022716338188584206
2021-06-04,1838953.7700999016,839806.3318854653,0.003659953714648001
2021-06-07,1834218.4630920747,839806.3318854653,-0.0025750005708787826
2021-06-08,1836972.6443914324,839806.3318854653,0.001501555760547113
2021-06-09,1833948.8663297265,839806.3318854653,-0.0016460659177141013
2021-06-10,1841616.6753314687,930989.1563363393,0.004181037510106567
2021-06-11,1849329.8027265882,930989.1563363393,0.004188237160554165
2021-06-14,1851412.0869286237,930989.1563363393,0.0011259669308121278
