month,ticker,is_buy,status,exectype,size,price,value,commission
2021-11-30,MAS,False,Completed,0,-1724,60.0954542869,101062.0683590616,0.0
2021-11-30,MTD,False,Completed,0,-72,1484.11,98623.44,0.0
2021-11-30,ORCL,True,Completed,0,1107,90.3468377135,100013.9493488445,0.0
2021-11-30,SPGI,False,Completed,0,-1225,455.5901412241,100812.039449555,0.0
2021-11-30,STX,True,Completed,0,1291,77.834417369,100484.23282337899,0.0
2021-12-31,COR,False,Completed,0,-887,111.39037715849999,100234.8940329807,0.0
2021-12-31,EBAY,False,Completed,0,-1418,63.22733351050001,99617.961581896,0.0
2021-12-31,FICO,True,Completed,0,283,358.0,101314.0,0.0
2021-12-31,MTD,True,Completed,0,66,1516.03,100057.98,0.0
2022-01-31,BX,True,Completed,0,904,111.1360800375,100467.01635389999,0.0
2022-01-31,FANG,True,Completed,0,1135,87.8208919304,99676.712341004,0.0
2022-01-31,FICO,False,Completed,0,-283,437.15,101314.0,0.0
2022-01-31,KKR,True,Completed,0,1394,71.7005605676,99950.58143123439,0.0
2022-01-31,KMB,False,Completed,0,-923,120.8029362806,101188.3561550316,0.0
2022-01-31,MCK,True,Completed,0,411,242.0064831444,99464.6645723484,0.0
2022-01-31,MTD,False,Completed,0,-66,1690.87,100057.98,0.0
2022-01-31,WAT,False,Completed,0,-310,372.24,100139.29999999999,0.0
2022-02-28,BX,False,Completed,0,-904,115.1198810604,100467.01635389999,0.0
2022-02-28,FANG,False,Completed,0,-1135,101.8944388432,99676.712341004,0.0
2022-02-28,KKR,False,Completed,0,-1394,68.9950606992,99950.58143123439,0.0
2022-02-28,KMB,True,Completed,0,853,117.4397307668,100176.0903440804,0.0
2022-02-28,MTD,True,Completed,0,67,1485.36,99519.12,0.0
2022-02-28,NOC,True,Completed,0,290,344.1334270151,99798.693834379,0.0
2022-03-31,COR,True,Completed,0,730,136.733282179,99815.29599067001,0.0
2022-03-31,MCK,False,Completed,0,-411,269.0575794558,99464.6645723484,0.0
2022-03-31,MO,True,Completed,0,2729,36.6097986131,99908.14041514989,0.0
2022-03-31,NOC,False,Completed,0,-290,414.9741980741,99798.693834379,0.0
2022-04-30,CF,True,Completed,0,1061,93.2880801104,98978.6529971344,0.0
2022-04-30,LOW,False,Completed,0,-855,187.707798243,99647.0782891785,0.0
2022-04-30,MOS,True,Completed,0,1683,59.2694150347,99750.42550340011,0.0
2022-04-30,ORCL,False,Completed,0,-1107,78.4396602635,100013.9493488445,0.0
2022-05-31,CF,False,Completed,0,-1061,87.9779620988,98978.6529971344,0.0
2022-05-31,EBAY,True,Completed,0,2082,48.0721993666,100086.3190812612,0.0
2022-05-31,MO,False,Completed,0,-2729,40.7461079705,99908.14041514989,0.0
2022-05-31,MOS,False,Completed,0,-1683,55.3758690116,99750.42550340011,0.0
2022-05-31,NUE,True,Completed,0,686,145.4792102939,99798.73826161539,0.0
2022-05-31,WAT,True,Completed,0,330,301.18,99389.40000000001,0.0
2022-06-30,CF,True,Completed,0,1103,90.7664713182,100115.41786397461,0.0
2022-06-30,EBAY,False,Completed,0,-2082,45.6024113151,100086.3190812612,0.0
2022-06-30,HD,False,Completed,0,-370,274.179268596,100446.44155516,0.0
2022-06-30,IT,True,Completed,0,381,264.05,100603.05,0.0
2022-06-30,MOS,True,Completed,0,1787,55.3293862725,98873.6132689575,0.0
2022-06-30,NRG,True,Completed,0,2402,41.58950533,99897.99180266,0.0
2022-06-30,NUE,False,Completed,0,-686,125.3920044707,99798.73826161539,0.0
2022-06-30,ORLY,False,Completed,0,-3221,42.6666666667,100355.6233334407,0.0
2022-07-31,AAPL,True,Completed,0,746,133.3742947507,99497.2238840222,0.0
2022-07-31,CDW,True,Completed,0,670,148.0114069372,99167.642647924,0.0
2022-07-31,CF,False,Completed,0,-1103,77.8391532057,100115.41786397461,0.0
2022-07-31,MOS,False,Completed,0,-1787,41.6671462317,98873.6132689575,0.0
2022-08-31,BG,True,Completed,0,1211,82.6381969653,100074.8565249783,0.0
2022-08-31,CDW,False,Completed,0,-670,170.3550726519,99167.642647924,0.0
2022-08-31,NRG,False,Completed,0,-2402,34.2188342875,99897.99180266,0.0
2022-08-31,OXY,True,Completed,0,1612,61.4755630816,99098.6076875392,0.0
2022-09-30,BG,False,Completed,0,-1211,88.4295850722,100074.8565249783,0.0
2022-09-30,CF,True,Completed,0,1049,94.1807429562,98795.59936105381,0.0
2022-09-30,ON,True,Completed,0,1454,66.712,96999.248,0.0
2022-09-30,OXY,False,Completed,0,-1612,65.3148379281,99098.6076875392,0.0
2022-09-30,SMCI,True,Completed,0,15365,6.39,98182.34999999999,0.0
2022-09-30,WAT,False,Completed,0,-330,298.96,99389.40000000001,0.0
2022-10-31,AMGN,True,Completed,0,498,203.0079685713,101097.9683485074,0.0
2022-10-31,CF,False,Completed,0,-1049,93.0571315108,98795.59936105381,0.0
2022-10-31,ON,False,Completed,0,-1454,63.01,96999.248,0.0
2022-10-31,QCOM,True,Completed,0,959,106.0901343437,101740.4388356083,0.0
2022-10-31,SMCI,False,Completed,0,-15365,5.655,98182.34999999999,0.0
2022-10-31,WAT,True,Completed,0,371,271.97,100900.87000000001,0.0
2022-11-30,AAPL,False,Completed,0,-746,152.252693364,99497.2238840222,0.0
