month,ticker,size,price,market_value
2018-08-31,SPGI,1225,193.6226328052,237187.72518637
2018-08-31,STX,2557,39.7813080046,101720.8045677622
2018-08-31,TPL,1837,84.7384389871,155664.5124193027
2018-08-31,UPS,1340,89.9376053804,120516.391209736
2018-09-30,ABBV,1509,67.9338223777,102512.1379679493
2018-09-30,BA,313,359.7379381422,112597.9746385086
2018-09-30,HD,820,172.1624454856,141173.20529819198
2018-09-30,KMB,1282,87.1678825789,111749.2254661498
2018-09-30,LULU,645,162.49,104806.05
2018-09-30,ORLY,5567,23.1546666667,128902.02933351889
2018-09-30,SPGI,1225,182.7187936431,223830.5222127975
2018-09-30,STX,2557,35.6439686076,91141.6277296332
2018-09-30,TPL,1837,87.5762187522,160877.51384779142
2018-09-30,UPS,1340,85.4509719089,114504.302357926
2018-10-31,ABBV,1509,56.5091046191,85272.2388702219
2018-10-31,BA,313,343.2551888388,107438.8741065444
2018-10-31,CTAS,2194,41.8938127102,91915.02508617881
2018-10-31,HD,820,146.173936336,119862.62779551999
2018-10-31,KMB,1282,80.0036092307,102564.6270337574
2018-10-31,ORLY,5567,21.3833333333,119041.01666648111
2018-10-31,POOL,658,132.5803091343,87237.8434103694
2018-10-31,SPGI,1225,170.4963941707,208858.0828591075
2018-10-31,STX,2557,30.2841997273,77436.6987027061
2018-10-31,UPS,1340,77.9781288837,104490.69270415799
2018-11-30,ABBV,1509,68.427916409,103257.72586118101
2018-11-30,HD,820,150.7339986306,123601.87887709201
2018-11-30,KMB,1282,88.4948839592,113450.4412356944
2018-11-30,LMT,418,245.8194050545,102752.511312781
2018-11-30,MCO,737,148.713200786,109601.62897928199
2018-11-30,ORLY,5567,23.1186666667,128701.61733351891
2018-11-30,SPGI,1225,171.4843203057,210068.29237448252
2018-11-30,STX,2557,32.4371405977,82941.7685083189
2018-11-30,TPL,1295,58.8054977498,76153.119585991
2018-11-30,UPS,1340,85.0798790246,114007.037892964
2018-12-31,ABBV,1509,66.9181034661,100979.41813034491
2018-12-31,CLX,759,122.4751229013,92958.6182820867
2018-12-31,HD,820,143.6286360066,117775.481525412
2018-12-31,KMB,1282,88.1720485397,113036.5662278954
2018-12-31,LMT,418,214.2440935309,89554.0310959162
2018-12-31,MCO,737,130.9222143589,96489.67198250929
2018-12-31,ORLY,5567,22.9553333333,127792.3406664811
2018-12-31,SPGI,1225,159.3680706155,195225.88650398748
2018-12-31,STX,2557,29.539902774,75533.531393118
2018-12-31,UPS,1340,71.9736369266,96444.67348164399
2019-01-31,ABBV,1509,59.0159539401,89055.0744956109
2019-01-31,HD,820,153.4173179275,125802.20070054999
2019-01-31,KMB,1282,86.1910019866,110496.8645468212
2019-01-31,LMT,418,237.0316661127,99079.2364351086
