month,intercept,ma_ratio_3,ma_ratio_5,ma_ratio_10,ma_ratio_20,ma_ratio_50,ma_ratio_100,ma_ratio_200,ma_ratio_400,ma_ratio_600,ma_ratio_800,ma_ratio_1000,smoothed_window,smoothed_n_obs
2016-03-31,-0.11278307956031401,0.1715045483881764,-0.2871524162817037,0.40409945534102903,-0.21651052958174352,0.049987933101859255,0.02631238787320826,0.02282336709227291,-0.1405764118085999,0.1173057600447102,-0.01965347834401923,-0.007614083082189142,12,427.5833333333333
2016-04-30,-0.17678724382884767,0.14511688526347058,-0.162508036682912,0.401062051071259,-0.2285216808231655,-0.00897452377805639,0.09452542064822804,0.01816238150160099,-0.23642485676160307,0.2702942030371976,-0.19324273887595309,0.08806593309844757,12,427.9166666666667
2016-05-31,-0.16232176997446818,0.03199094187741989,-0.022896727308430693,0.314346005873498,-0.15556195911707973,-0.05583722872206668,0.08316746772142483,0.048114597964416646,-0.2530199857461571,0.29168235706553763,-0.1758110978377813,0.0685661288661376,12,428.3333333333333
2016-06-30,-0.15485282248569526,0.28868086859780906,-0.33618332171210935,0.2849493674561759,-0.037734920148696977,-0.1704367015363881,0.2009834795390735,-0.003398459447026797,-0.20575525853626955,0.2689644126621779,-0.25197938883361737,0.13658328929466834,12,428.8333333333333
2016-07-31,-0.1425781054545381,0.20759393192017636,-0.2551521496511818,0.2388349360377168,0.006147200735601152,-0.16153640537117356,0.1841738451745669,-0.0466615767026645,-0.10997035584315644,0.17057285500854288,-0.24225827579190898,0.1735498023768409,12,429.4166666666667
2016-08-31,-0.17390824369148836,0.21877279493026666,-0.29430860993763613,0.3998561180430804,-0.1496114594437792,-0.05792221424636664,0.11605966671951819,-0.046830998934153635,-0.06641757858642366,0.11329699859271221,-0.14876921930063056,0.11721366637653657,12,430.0833333333333
2016-09-30,-0.29613273691571745,0.43294093574337306,-0.37337668613430536,0.36591465167961856,-0.13711725067814443,-0.056814037313404654,0.1355205706752627,-0.06668658594641746,-0.10200447452209706,0.19992289291977305,-0.16853495537425955,0.09235818203304398,12,430.75
2016-10-31,-0.26189455053032806,0.4356162274684392,-0.40391735701505266,0.3375551174301324,-0.0836496813207207,-0.11060539231811019,0.1386052368455906,-0.04071609944895592,-0.08447990944090854,0.11565625959740121,-0.09009051948344425,0.0676821221016314,12,431.4166666666667
2016-11-30,-0.2533725236926508,0.39323089315183823,-0.3431443003055364,0.2596269754497415,0.019308973205438174,-0.17390743756099966,0.16975468767782317,-0.09893942045455373,-0.01453409537527787,0.023794164911850824,-0.0009227992224882797,0.04269472441893086,12,432.1666666666667
2016-12-31,-0.2569327943810627,0.6151404587168056,-0.6679131005803202,0.4007614606499019,-0.00912678904466333,-0.18682090579254307,0.15690891005836957,-0.07688752808274096,-0.02040043758513054,0.058110881410284095,-0.04869297130192324,0.06301670991981849,12,432.8333333333333
