strategy,signal_month,GICS Sector,sector_count,n_holdings,sector_share
base_equal_top10,2015-10-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2015-10-31,Consumer Staples,3,10,0.3
base_equal_top10,2015-10-31,Health Care,1,10,0.1
base_equal_top10,2015-10-31,Industrials,3,10,0.3
base_equal_top10,2015-10-31,Information Technology,2,10,0.2
base_equal_top10,2015-11-30,Consumer Staples,3,10,0.3
base_equal_top10,2015-11-30,Financials,1,10,0.1
base_equal_top10,2015-11-30,Health Care,1,10,0.1
base_equal_top10,2015-11-30,Industrials,4,10,0.4
base_equal_top10,2015-11-30,Utilities,1,10,0.1
base_equal_top10,2015-12-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2015-12-31,Consumer Staples,3,10,0.3
base_equal_top10,2015-12-31,Energy,1,10,0.1
base_equal_top10,2015-12-31,Health Care,1,10,0.1
base_equal_top10,2015-12-31,Industrials,4,10,0.4
base_equal_top10,2016-01-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2016-01-31,Consumer Staples,3,10,0.3
base_equal_top10,2016-01-31,Financials,1,10,0.1
base_equal_top10,2016-01-31,Health Care,1,10,0.1
base_equal_top10,2016-01-31,Industrials,4,10,0.4
base_equal_top10,2016-02-29,Communication Services,1,10,0.1
base_equal_top10,2016-02-29,Consumer Staples,5,10,0.5
base_equal_top10,2016-02-29,Industrials,4,10,0.4
base_equal_top10,2016-03-31,Communication Services,1,10,0.1
base_equal_top10,2016-03-31,Consumer Staples,5,10,0.5
base_equal_top10,2016-03-31,Industrials,3,10,0.3
base_equal_top10,2016-03-31,Information Technology,1,10,0.1
base_equal_top10,2016-04-30,Consumer Staples,4,10,0.4
base_equal_top10,2016-04-30,Industrials,4,10,0.4
base_equal_top10,2016-04-30,Information Technology,2,10,0.2
base_equal_top10,2016-05-31,Consumer Staples,4,10,0.4
base_equal_top10,2016-05-31,Financials,1,10,0.1
base_equal_top10,2016-05-31,Health Care,1,10,0.1
base_equal_top10,2016-05-31,Industrials,3,10,0.3
base_equal_top10,2016-05-31,Information Technology,1,10,0.1
base_equal_top10,2016-06-30,Communication Services,1,10,0.1
base_equal_top10,2016-06-30,Consumer Staples,5,10,0.5
base_equal_top10,2016-06-30,Industrials,2,10,0.2
base_equal_top10,2016-06-30,Information Technology,2,10,0.2
base_equal_top10,2016-07-31,Communication Services,1,10,0.1
base_equal_top10,2016-07-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2016-07-31,Consumer Staples,4,10,0.4
base_equal_top10,2016-07-31,Financials,1,10,0.1
base_equal_top10,2016-07-31,Industrials,2,10,0.2
base_equal_top10,2016-07-31,Information Technology,1,10,0.1
base_equal_top10,2016-08-31,Consumer Discretionary,2,10,0.2
base_equal_top10,2016-08-31,Consumer Staples,4,10,0.4
base_equal_top10,2016-08-31,Financials,1,10,0.1
base_equal_top10,2016-08-31,Industrials,3,10,0.3
base_equal_top10,2016-09-30,Consumer Discretionary,1,10,0.1
base_equal_top10,2016-09-30,Consumer Staples,3,10,0.3
base_equal_top10,2016-09-30,Financials,1,10,0.1
base_equal_top10,2016-09-30,Industrials,3,10,0.3
base_equal_top10,2016-09-30,Information Technology,2,10,0.2
base_equal_top10,2016-10-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2016-10-31,Consumer Staples,1,10,0.1
base_equal_top10,2016-10-31,Energy,1,10,0.1
base_equal_top10,2016-10-31,Financials,1,10,0.1
base_equal_top10,2016-10-31,Health Care,1,10,0.1
base_equal_top10,2016-10-31,Industrials,2,10,0.2
base_equal_top10,2016-10-31,Information Technology,3,10,0.3
base_equal_top10,2016-11-30,Consumer Discretionary,2,10,0.2
base_equal_top10,2016-11-30,Energy,2,10,0.2
base_equal_top10,2016-11-30,Financials,1,10,0.1
base_equal_top10,2016-11-30,Industrials,3,10,0.3
base_equal_top10,2016-11-30,Information Technology,2,10,0.2
base_equal_top10,2016-12-31,Consumer Discretionary,2,10,0.2
base_equal_top10,2016-12-31,Energy,2,10,0.2
base_equal_top10,2016-12-31,Financials,1,10,0.1
base_equal_top10,2016-12-31,Industrials,2,10,0.2
base_equal_top10,2016-12-31,Information Technology,1,10,0.1
base_equal_top10,2016-12-31,Materials,2,10,0.2
base_equal_top10,2017-01-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2017-01-31,Consumer Staples,2,10,0.2
base_equal_top10,2017-01-31,Energy,2,10,0.2
base_equal_top10,2017-01-31,Financials,2,10,0.2
base_equal_top10,2017-01-31,Industrials,2,10,0.2
base_equal_top10,2017-01-31,Materials,1,10,0.1
base_equal_top10,2017-02-28,Consumer Staples,2,10,0.2
base_equal_top10,2017-02-28,Energy,2,10,0.2
base_equal_top10,2017-02-28,Financials,3,10,0.3
base_equal_top10,2017-02-28,Industrials,2,10,0.2
base_equal_top10,2017-02-28,Information Technology,1,10,0.1
base_equal_top10,2017-03-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2017-03-31,Consumer Staples,3,10,0.3
base_equal_top10,2017-03-31,Energy,1,10,0.1
base_equal_top10,2017-03-31,Financials,1,10,0.1
base_equal_top10,2017-03-31,Industrials,2,10,0.2
base_equal_top10,2017-03-31,Information Technology,2,10,0.2
base_equal_top10,2017-04-30,Consumer Discretionary,1,10,0.1
base_equal_top10,2017-04-30,Consumer Staples,3,10,0.3
base_equal_top10,2017-04-30,Energy,1,10,0.1
base_equal_top10,2017-04-30,Financials,1,10,0.1
base_equal_top10,2017-04-30,Industrials,3,10,0.3
base_equal_top10,2017-04-30,Information Technology,1,10,0.1
base_equal_top10,2017-05-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2017-05-31,Consumer Staples,1,10,0.1
base_equal_top10,2017-05-31,Energy,2,10,0.2
base_equal_top10,2017-05-31,Financials,1,10,0.1
base_equal_top10,2017-05-31,Industrials,3,10,0.3
base_equal_top10,2017-05-31,Information Technology,2,10,0.2
base_equal_top10,2017-06-30,Consumer Discretionary,1,10,0.1
base_equal_top10,2017-06-30,Consumer Staples,3,10,0.3
base_equal_top10,2017-06-30,Financials,1,10,0.1
base_equal_top10,2017-06-30,Industrials,3,10,0.3
base_equal_top10,2017-06-30,Information Technology,2,10,0.2
