month,ticker,size,price,market_value
2022-10-31,KMB,838,108.8899638668,91249.78972037841
2022-10-31,LMT,286,440.47068835,125974.6168681
2022-10-31,MTD,82,1264.93,103724.26000000001
2022-10-31,STX,1677,44.718655863,74993.185882251
2022-11-30,CF,1021,100.0120986038,102112.3526744798
2022-11-30,CL,1396,71.3093347937,99547.83137200521
2022-11-30,COR,730,165.3625797568,120714.683222464
2022-11-30,DVA,1369,73.73,100936.37000000001
2022-11-30,DVN,1475,60.0317268352,88546.79708192
2022-11-30,EQT,2593,40.2672928883,104413.09045936189
2022-11-30,IT,350,350.37,122629.5
2022-11-30,MTD,82,1469.56,120503.92
2022-11-30,STX,1677,47.6992992562,79991.7248526474
2022-11-30,VRTX,320,316.4,101248.0
2022-12-31,AON,333,291.5942772485,97100.8943237505
2022-12-31,CL,1396,72.5150037222,101230.94519619121
2022-12-31,COR,730,160.5380109643,117192.748003939
2022-12-31,EQT,2593,32.1207856263,83289.19712899589
2022-12-31,IT,350,336.14,117649.0
2022-12-31,MTD,82,1445.45,118526.90000000001
2022-12-31,OXY,1522,59.6605178909,90803.3082299498
2022-12-31,STX,1677,48.0253035273,80538.4340152821
2022-12-31,TPL,360,250.9856241776,90354.824703936
2022-12-31,VLO,830,114.2736144736,94847.100013088
2023-01-31,AON,333,310.1504533511,103280.1009659163
2023-01-31,CF,1269,78.2976684697,99359.7412880493
2023-01-31,CL,1396,69.0216291681,96354.1943186676
2023-01-31,COR,730,163.6865749353,119491.199702769
2023-01-31,DVN,1814,56.6603909104,102781.9491114656
2023-01-31,EQT,2593,31.0193930361,80433.28614260729
2023-01-31,ERIE,426,231.4596404615,98601.80683659899
2023-01-31,OXY,1522,61.3653747285,93398.100336777
2023-01-31,STLD,1072,115.1065489378,123394.2204613216
2023-01-31,TPL,360,213.6862244809,76927.040813124
2023-02-28,AON,333,295.9120288107,98538.7055939631
2023-02-28,CL,1396,67.8825361334,94764.02044222639
2023-02-28,COR,730,151.1763028386,110358.70107217801
2023-02-28,KLAC,263,368.7334265386,96976.8911796518
2023-02-28,KMB,871,110.3341387855,96101.0348821705
2023-02-28,MPC,838,115.359958615,96671.64531937
2023-02-28,MTD,65,1433.71,93191.15000000001
2023-02-28,SMCI,13825,9.797,135443.525
2023-02-28,TPL,360,190.5965277745,68614.74999882
2023-02-28,VLO,792,119.5262014076,94664.7515148192
2023-03-31,ADSK,503,208.16,104704.48
2023-03-31,AON,333,306.8511875143,102181.4454422619
2023-03-31,APA,2936,31.9981801026,93946.6567812336
2023-03-31,CL,1396,69.5958061449,97155.7453782804
2023-03-31,COR,730,155.59808336,113586.60085280001
2023-03-31,IT,305,325.77,99359.84999999999
2023-03-31,KMB,871,119.5647385129,104140.8872447359
2023-03-31,MRNA,720,153.58,110577.6
2023-03-31,MTD,65,1530.21,99463.65000000001
2023-03-31,STLD,831,108.2859580085,89985.6311050635
2023-04-30,AON,333,317.0750186693,105585.9812168769
2023-04-30,APA,2936,32.9160321883,96641.4705048488
2023-04-30,CL,1396,74.3666832888,103815.8898711648
2023-04-30,COR,730,162.1481494511,118368.149099303
2023-04-30,DECK,1334,79.89,106573.26
2023-04-30,GWW,149,676.0926109774,100737.7990356326
2023-04-30,HD,365,278.4824471515,101646.0932102975
2023-04-30,IT,305,302.46,92250.29999999999
2023-04-30,MTD,65,1491.5,96947.5
2023-04-30,SMCI,9385,10.543,98946.055
2023-05-31,APA,2936,28.3872863757,83345.0727990552
2023-05-31,BLDR,1055,115.95,122327.25
2023-05-31,CL,1396,69.3157130704,96764.7354462784
2023-05-31,COR,730,165.8229412113,121050.747084249
2023-05-31,DECK,1334,79.1666666667,105608.3333333778
2023-05-31,GE,1286,79.7498754792,102558.3398662512
2023-05-31,HD,365,264.583343181,96572.920261065
2023-05-31,IT,305,342.86,104572.3
2023-05-31,MAR,609,163.057083498,99301.763850282
2023-05-31,MTD,65,1321.87,85921.54999999999
2023-06-30,AMGN,497,202.4547453297,100620.00842886089
2023-06-30,APA,2936,30.5221389383,89612.9999228488
2023-06-30,BKNG,1015,106.0386795428,107629.259735942
2023-06-30,BLDR,1055,136.0,143480.0
2023-06-30,CL,1396,71.7946025134,100225.26510870639
2023-06-30,COR,730,187.5363419176,136901.529599848
2023-06-30,HD,365,289.9635552152,105836.697653548
2023-06-30,IT,305,350.31,106844.55
2023-06-30,KMB,835,124.0626734253,103592.33231012551
2023-06-30,MAR,609,178.5085861359,108711.72895676311
2023-07-31,AMGN,497,213.5158031661,106117.3541735517
2023-07-31,APA,2936,36.4055711176,106886.75680127359
2023-07-31,BLDR,1055,144.43,152373.65
2023-07-31,CL,1396,71.510729612,99828.978538352
2023-07-31,COR,730,182.1469745071,132967.291390183
2023-07-31,DHI,847,123.2028977549,104352.85439840029
2023-07-31,HD,365,311.6193448141,113741.06085714648
2023-07-31,IT,305,353.59,107844.95
2023-07-31,KMB,835,116.0110903898,96869.26047548301
2023-07-31,PHM,1314,82.619579526,108562.127497164
2023-08-31,ACGL,1353,73.091614042,98892.953798826
2023-08-31,APA,2936,39.4176398567,115730.1906192712
2023-08-31,BLDR,1055,145.04,153017.19999999998
2023-08-31,CL,1396,68.8944834067,96176.69883575321
2023-08-31,COR,730,171.9494196203,125523.076322819
2023-08-31,GE,1113,89.9712162321,100137.96366632731
