strategy,month,portfolio_return,pnl,equity,prev_equity,n_positions,regime_on
base_top10_stop10_take20,2007-12-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-01-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-02-29,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-03-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-04-30,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-05-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-06-30,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-07-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-08-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-09-30,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-10-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-11-30,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2008-12-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2009-01-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2009-02-28,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2009-03-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2009-04-30,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2009-05-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2009-06-30,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2009-07-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2009-08-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2009-09-30,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2009-10-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2009-11-30,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2009-12-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2010-01-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2010-02-28,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2010-03-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2010-04-30,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2010-05-31,-0.02749539300125656,-27495.39300125656,972504.6069987435,1000000.0,10,False
base_top10_stop10_take20,2010-06-30,0.0678890089267629,66022.37394585574,1038526.9809445993,972504.6069987435,9,False
base_top10_stop10_take20,2010-07-31,0.007240257312774054,7519.202568297295,1046046.1835128965,1038526.9809445993,10,True
base_top10_stop10_take20,2010-08-31,0.07424017172044294,77658.6482915114,1123704.831804408,1046046.1835128965,10,False
base_top10_stop10_take20,2010-09-30,0.03434660055959057,38595.44100486791,1162300.272809276,1123704.831804408,10,True
base_top10_stop10_take20,2010-10-31,0.022514420521214138,26168.51711394995,1188468.7899232258,1162300.272809276,10,True
base_top10_stop10_take20,2010-11-30,0.02121235447253663,25210.221251398136,1213679.0111746239,1188468.7899232258,10,True
base_top10_stop10_take20,2010-12-31,9.025551924795934e-08,0.10954122935391553,1213679.1207158533,1213679.0111746239,10,True
base_top10_stop10_take20,2011-01-31,0.022841139211559235,27721.81375443361,1241400.9344702868,1213679.1207158533,10,True
base_top10_stop10_take20,2011-02-28,0.026361885915943874,32725.66981045182,1274126.6042807386,1241400.9344702868,10,True
base_top10_stop10_take20,2011-03-31,0.007718053279269525,9833.777016373499,1283960.3812971122,1274126.6042807386,10,True
base_top10_stop10_take20,2011-04-30,0.0005329954411389644,684.3450298344072,1284644.7263269466,1283960.3812971122,10,True
base_top10_stop10_take20,2011-05-31,-0.0162605405630779,-20889.017681583424,1263755.708645363,1284644.7263269466,10,True
base_top10_stop10_take20,2011-06-30,-0.029792710469909497,-37650.707932366604,1226105.0007129966,1263755.708645363,10,True
base_top10_stop10_take20,2011-07-31,-0.08155908339159261,-100000.0,1126105.0007129966,1226105.0007129966,10,True
base_top10_stop10_take20,2011-08-31,-0.040720419034840465,-45855.46750626254,1080249.533206734,1126105.0007129966,10,False
base_top10_stop10_take20,2011-09-30,0.045983994009522196,49674.18806376761,1129923.7212705016,1080249.533206734,10,False
base_top10_stop10_take20,2011-10-31,0.025605039339169484,28931.74133339197,1158855.4626038936,1129923.7212705016,10,False
base_top10_stop10_take20,2011-11-30,0.016900721004428992,19585.4928579269,1178440.9554618206,1158855.4626038936,10,False
base_top10_stop10_take20,2011-12-31,0.06884099161299925,81125.04393136202,1259565.9993931826,1178440.9554618206,10,False
base_top10_stop10_take20,2012-01-31,0.030308532808579328,38175.597417179284,1297741.5968103618,1259565.9993931826,10,True
base_top10_stop10_take20,2012-02-29,0.013951408182278989,18105.32273222388,1315846.9195425857,1297741.5968103618,10,True
base_top10_stop10_take20,2012-03-31,0.01192020343890464,15685.162975403608,1331532.0825179894,1315846.9195425857,10,True
base_top10_stop10_take20,2012-04-30,-0.03103005812939741,-41317.5179216908,1290214.5645962986,1331532.0825179894,10,True
base_top10_stop10_take20,2012-05-31,0.021127720499339264,27259.2927049673,1317473.857301266,1290214.5645962986,10,True
base_top10_stop10_take20,2012-06-30,0.024680846318224543,32516.369800331035,1349990.227101597,1317473.857301266,10,True
base_top10_stop10_take20,2012-07-31,0.014422820728462321,19470.66703066247,1369460.8941322595,1349990.227101597,10,True
base_top10_stop10_take20,2012-08-31,-0.01169311626265578,-16013.26545224905,1353447.6286800106,1369460.8941322595,10,True
base_top10_stop10_take20,2012-09-30,0.027930026998414292,37801.828809972496,1391249.457489983,1353447.6286800106,10,True
base_top10_stop10_take20,2012-10-31,0.00697271591456526,9700.78723337069,1400950.2447233535,1391249.457489983,10,True
base_top10_stop10_take20,2012-11-30,0.02398239931800723,33598.148193615416,1434548.392916969,1400950.2447233535,10,True
base_top10_stop10_take20,2012-12-31,0.04362970693254434,62588.92596351982,1497137.3188804889,1434548.392916969,10,True
base_top10_stop10_take20,2013-01-31,-0.032474906324485873,-48619.39418553581,1448517.924694953,1497137.3188804889,10,True
base_top10_stop10_take20,2013-02-28,0.033688892036663316,48798.96397821988,1497316.8886731728,1448517.924694953,10,True
base_top10_stop10_take20,2013-03-31,0.02743112583649803,41073.08799030752,1538389.9766634803,1497316.8886731728,10,True
base_top10_stop10_take20,2013-04-30,0.05421028955801461,83396.5660880746,1621786.5427515549,1538389.9766634803,10,True
base_top10_stop10_take20,2013-05-31,-0.028756250052373537,-46636.499354938096,1575150.0433966168,1621786.5427515549,10,True
base_top10_stop10_take20,2013-06-30,0.02231097242927468,35143.12919019273,1610293.1725868096,1575150.0433966168,10,True
base_top10_stop10_take20,2013-07-31,-0.004774521072512048,-7688.378685438002,1602604.7939013715,1610293.1725868096,10,True
base_top10_stop10_take20,2013-08-31,0.024134340659762454,38677.8100389841,1641282.6039403556,1602604.7939013715,10,True
base_top10_stop10_take20,2013-09-30,0.01748685984575875,28700.87886238697,1669983.4828027426,1641282.6039403556,10,True
base_top10_stop10_take20,2013-10-31,0.03253009028068394,54324.71346282421,1724308.1962655669,1669983.4828027426,10,True
base_top10_stop10_take20,2013-11-30,0.008993703343218383,15507.91638949249,1739816.1126550594,1724308.1962655669,10,True
base_top10_stop10_take20,2013-12-31,-0.006905107251824191,-12013.616856335024,1727802.4957987245,1739816.1126550594,10,True
base_top10_stop10_take20,2014-01-31,0.031060723930994457,53666.79632928739,1781469.2921280118,1727802.4957987245,10,True
base_top10_stop10_take20,2014-02-28,0.013081133562690654,23303.637748158497,1804772.9298761704,1781469.2921280118,10,True
base_top10_stop10_take20,2014-03-31,-0.019515621961070335,-35221.26622503664,1769551.6636511337,1804772.9298761704,10,True
base_top10_stop10_take20,2014-04-30,0.03773577283156582,66775.39959325854,1836327.0632443922,1769551.6636511337,10,True
base_top10_stop10_take20,2014-05-31,-0.0006555813494355685,-1203.861774126813,1835123.2014702654,1836327.0632443922,10,True
base_top10_stop10_take20,2014-06-30,-0.0031791587191684475,-5834.14792670251,1829289.053543563,1835123.2014702654,10,True
base_top10_stop10_take20,2014-07-31,0.0398917817122785,72973.59961262035,1902262.6531561834,1829289.053543563,10,True
base_top10_stop10_take20,2014-08-31,-0.0072267603255938995,-13747.196270688095,1888515.4568854952,1902262.6531561834,10,True
base_top10_stop10_take20,2014-09-30,-0.01242151887071893,-23458.23038534756,1865057.2265001477,1888515.4568854952,10,True
base_top10_stop10_take20,2014-10-31,0.02961674438887199,55236.92314787341,1920294.1496480212,1865057.2265001477,10,True
base_top10_stop10_take20,2014-11-30,-0.0012221312854341058,-2346.8515575209294,1917947.2980905003,1920294.1496480212,10,True
base_top10_stop10_take20,2014-12-31,0.01233298809898206,23654.021201824937,1941601.3192923253,1917947.2980905003,10,True
base_top10_stop10_take20,2015-01-31,0.023901003790230337,46406.22049152209,1988007.5397838473,1941601.3192923253,10,True
base_top10_stop10_take20,2015-02-28,-0.001914311591897859,-3805.665878188563,1984201.8739056587,1988007.5397838473,10,True
base_top10_stop10_take20,2015-03-31,-0.011567973976515693,-22953.195641494334,1961248.6782641644,1984201.8739056587,10,True
base_top10_stop10_take20,2015-04-30,0.005282815021658908,10360.913978742607,1971609.592242907,1961248.6782641644,10,True
base_top10_stop10_take20,2015-05-31,-0.011079140496353734,-21843.739676417863,1949765.8525664893,1971609.592242907,10,True
base_top10_stop10_take20,2015-06-30,0.005779053916054397,11267.801985663511,1961033.6545521528,1949765.8525664893,10,True
base_top10_stop10_take20,2015-07-31,-0.032555897258529656,-63843.210178118825,1897190.444374034,1961033.6545521528,10,True
base_top10_stop10_take20,2015-08-31,0.009092539839897053,17250.279699342896,1914440.7240733767,1897190.444374034,10,False
base_top10_stop10_take20,2015-09-30,0.05160954975812702,98803.42380804966,2013244.1478814264,1914440.7240733767,10,False
base_top10_stop10_take20,2015-10-31,0.003724910282827819,7499.153828286456,2020743.301709713,2013244.1478814264,10,True
base_top10_stop10_take20,2015-11-30,-0.009383437885998725,-18961.519255141073,2001781.782454572,2020743.301709713,10,True
base_top10_stop10_take20,2015-12-31,-0.011497802886675842,-23016.092356801288,1978765.6900977707,2001781.782454572,10,False
base_top10_stop10_take20,2016-01-31,-0.02224394789297503,-44015.56090294159,1934750.1291948291,1978765.6900977707,10,False
base_top10_stop10_take20,2016-02-29,0.021380922525220523,41366.74261797504,1976116.8718128041,1934750.1291948291,10,False
base_top10_stop10_take20,2016-03-31,-0.006530932756330228,-12905.886408459066,1963210.985404345,1976116.8718128041,10,True
base_top10_stop10_take20,2016-04-30,0.010091249797299895,19811.252458518524,1983022.2378628636,1963210.985404345,10,True
base_top10_stop10_take20,2016-05-31,0.01473108525369105,29212.069645923057,2012234.3075087867,1983022.2378628636,10,True
base_top10_stop10_take20,2016-06-30,0.005307370810756773,10679.673628075503,2022913.9811368622,2012234.3075087867,10,True
base_top10_stop10_take20,2016-07-31,0.0007674181430663746,1552.4208909870579,2024466.4020278493,2022913.9811368622,10,True
base_top10_stop10_take20,2016-08-31,-0.008616860441283495,-17444.544454341303,2007021.857573508,2024466.4020278493,10,True
base_top10_stop10_take20,2016-09-30,-0.012016378042037574,-24117.133379235765,1982904.7241942722,2007021.857573508,10,True
base_top10_stop10_take20,2016-10-31,0.02079796340554694,41240.379890478616,2024145.1040847509,1982904.7241942722,10,True
base_top10_stop10_take20,2016-11-30,-0.005198163917058293,-10521.838042943555,2013623.2660418074,2024145.1040847509,10,True
base_top10_stop10_take20,2016-12-31,0.005384623531546011,10842.60322199725,2024465.8692638045,2013623.2660418074,10,True
base_top10_stop10_take20,2017-01-31,0.023989407124301684,48565.73594702272,2073031.6052108272,2024465.8692638045,10,True
base_top10_stop10_take20,2017-02-28,-0.014230015527548424,-29499.271931248706,2043532.3332795785,2073031.6052108272,10,True
base_top10_stop10_take20,2017-03-31,0.0007046507285559326,1439.9765474730598,2044972.3098270516,2043532.3332795785,10,True
base_top10_stop10_take20,2017-04-30,0.015118343354151846,30916.593529698355,2075888.90335675,2044972.3098270516,10,True
base_top10_stop10_take20,2017-05-31,0.006231126018897262,12935.125358046349,2088824.0287147963,2075888.90335675,10,True
base_top10_stop10_take20,2017-06-30,0.0040016103991500065,8358.659955299541,2097182.688670096,2088824.0287147963,10,True
base_top10_stop10_take20,2017-07-31,0.0036199152010893848,7591.623494178387,2104774.3121642745,2097182.688670096,10,True
base_top10_stop10_take20,2017-08-31,0.018073388993932203,38040.40488818102,2142814.7170524555,2104774.3121642745,10,True
base_top10_stop10_take20,2017-09-30,0.0016843425082934994,3609.2339153283583,2146423.950967784,2142814.7170524555,10,True
base_top10_stop10_take20,2017-10-31,0.02396013785992863,51428.6137710408,2197852.564738825,2146423.950967784,10,True
base_top10_stop10_take20,2017-11-30,0.011272897155083913,24776.165924338184,2222628.730663163,2197852.564738825,10,True
base_top10_stop10_take20,2017-12-31,0.02851122851251887,63369.875638427206,2285998.6063015903,2222628.730663163,10,True
